rank,team,metric,dimension,dimension_value,team_value,league_avg,std_devs_away,sample_size,interpretation,entity_type,player_id,player_label,posteam
30,J.Taylor,air_yards,receiver:pass_length,short,-1.2593,4.2779,-7.401,54,"J.Taylor [receiver:pass_length=short]: air_yards=-1.259 vs league 4.278 (-5.537), n=54, z=-7.40 — 7.4 std devs below average",player,00-0036223,J.Taylor,IND
31,T.Tracy,xyac_epa,receiver:pressure_label,Clean,1.4256,0.7136,8.022,33,"T.Tracy [receiver:pressure_label=Clean]: xyac_epa=1.426 vs league 0.714 (+0.712), n=33, z=8.02 — 8.0 std devs above average",player,00-0039384,T.Tracy,NYG
32,K.Boutte,air_yards,receiver:shotgun_label,Shotgun,17.9091,8.092,7.372,55,"K.Boutte [receiver:shotgun_label=Shotgun]: air_yards=17.909 vs league 8.092 (+9.817), n=55, z=7.37 — 7.4 std devs above average",player,00-0038608,K.Boutte,NE
33,A.Jeanty,air_yards,receiver:pressure_label,Clean,-1.8393,7.9564,-7.345,56,"A.Jeanty [receiver:pressure_label=Clean]: air_yards=-1.839 vs league 7.956 (-9.796), n=56, z=-7.34 — 7.3 std devs below average",player,00-0040122,A.Jeanty,LV
34,R.Dowdle,air_yards,receiver:pass_length,short,-1.4118,4.2779,-7.391,51,"R.Dowdle [receiver:pass_length=short]: air_yards=-1.412 vs league 4.278 (-5.690), n=51, z=-7.39 — 7.4 std devs below average",player,00-0036139,R.Dowdle,CAR
35,T.Spears,air_yards,receiver:shotgun_label,Shotgun,-2.5208,8.092,-7.445,48,"T.Spears [receiver:shotgun_label=Shotgun]: air_yards=-2.521 vs league 8.092 (-10.613), n=48, z=-7.45 — 7.4 std devs below average",player,00-0039032,T.Spears,TEN
36,C.Brown,air_yards,receiver:shotgun_label,Shotgun,0.5529,8.092,-7.038,85,"C.Brown [receiver:shotgun_label=Shotgun]: air_yards=0.553 vs league 8.092 (-7.539), n=85, z=-7.04 — 7.0 std devs below average",player,00-0038597,C.Brown,CIN
37,A.Jeanty,air_yards,receiver:shotgun_label,Shotgun,-1.1695,8.092,-7.203,59,"A.Jeanty [receiver:shotgun_label=Shotgun]: air_yards=-1.169 vs league 8.092 (-9.261), n=59, z=-7.20 — 7.2 std devs below average",player,00-0040122,A.Jeanty,LV
38,J.Gibbs,air_yards,receiver:pass_length,short,0.3226,4.2779,-6.938,93,"J.Gibbs [receiver:pass_length=short]: air_yards=0.323 vs league 4.278 (-3.955), n=93, z=-6.94 — 6.9 std devs below average",player,00-0039139,J.Gibbs,DET
39,C.Hubbard,xyac_epa,receiver:shotgun_label,Shotgun,1.3559,0.7213,7.573,39,"C.Hubbard [receiver:shotgun_label=Shotgun]: xyac_epa=1.356 vs league 0.721 (+0.635), n=39, z=7.57 — 7.6 std devs above average",player,00-0036555,C.Hubbard,CAR
40,J.Williams,air_yards,receiver:pass_length,short,-1.3137,4.2779,-7.263,51,"J.Williams [receiver:pass_length=short]: air_yards=-1.314 vs league 4.278 (-5.592), n=51, z=-7.26 — 7.3 std devs below average",player,00-0036997,J.Williams,DAL
41,C.Ward,time_to_throw,passer:pressure_label,Pressure,4.2692,3.4091,6.868,130,"C.Ward [passer:pressure_label=Pressure]: time_to_throw=4.269 vs league 3.409 (+0.860), n=130, z=6.87 — 6.9 std devs above average",player,00-0040676,C.Ward,TEN
42,K.Gainwell,xyac_epa,receiver:pass_location,left,1.3043,0.7276,7.372,44,"K.Gainwell [receiver:pass_location=left]: xyac_epa=1.304 vs league 0.728 (+0.577), n=44, z=7.37 — 7.4 std devs above average",player,00-0036919,K.Gainwell,PIT
43,B.Robinson,yards_after_catch,receiver:shotgun_label,Shotgun,10.2899,4.8899,6.922,69,"B.Robinson [receiver:shotgun_label=Shotgun]: yards_after_catch=10.290 vs league 4.890 (+5.400), n=69, z=6.92 — 6.9 std devs above average",player,00-0038542,B.Robinson,ATL
44,B.Robinson,yards_after_catch,receiver:pressure_label,Clean,10.5455,5.0361,6.899,66,"B.Robinson [receiver:pressure_label=Clean]: yards_after_catch=10.546 vs league 5.036 (+5.509), n=66, z=6.90 — 6.9 std devs above average",player,00-0038542,B.Robinson,ATL
45,B.Robinson,air_yards,receiver:shotgun_label,Shotgun,1.0899,8.092,-6.688,89,"B.Robinson [receiver:shotgun_label=Shotgun]: air_yards=1.090 vs league 8.092 (-7.002), n=89, z=-6.69 — 6.7 std devs below average",player,00-0038542,B.Robinson,ATL
46,C.Hubbard,air_yards,receiver:pass_length,short,-1.9268,4.2779,-7.227,41,"C.Hubbard [receiver:pass_length=short]: air_yards=-1.927 vs league 4.278 (-6.205), n=41, z=-7.23 — 7.2 std devs below average",player,00-0036555,C.Hubbard,CAR
47,C.Williams,time_to_throw,passer:down_str,Down 1,3.219,2.7554,6.895,258,"C.Williams [passer:down_str=Down 1]: time_to_throw=3.219 vs league 2.755 (+0.464), n=258, z=6.89 — 6.9 std devs above average",player,00-0039918,C.Williams,CHI
48,K.Shakir,comp_air_epa,receiver:pressure_label,Clean,-0.5478,0.1322,-6.564,100,"K.Shakir [receiver:pressure_label=Clean]: comp_air_epa=-0.548 vs league 0.132 (-0.680), n=100, z=-6.56 — 6.6 std devs below average",player,00-0037261,K.Shakir,BUF
49,C.Williams,time_to_throw,passer:pressure_label,Pressure,4.1222,3.4091,6.625,176,"C.Williams [passer:pressure_label=Pressure]: time_to_throw=4.122 vs league 3.409 (+0.713), n=176, z=6.62 — 6.6 std devs above average",player,00-0039918,C.Williams,CHI
50,S.Barkley,air_yards,receiver:pass_length,short,-0.9057,4.2779,-6.864,53,"S.Barkley [receiver:pass_length=short]: air_yards=-0.906 vs league 4.278 (-5.184), n=53, z=-6.86 — 6.9 std devs below average",player,00-0034844,S.Barkley,PHI
